Song_Name,zcr_mean,spectral_flux,spectral_rolloff_mean,Label
72059,0,0,0,Folk
46158,0,44.0476819547547,44.0476819547547,Electronic
48307,0,7.90049203510546,7.90049203510546,Experimental
30690,0,0,0,Experimental
66637,0,0,0,Electronic
107535,0,0,0,Instrumental
105719,0,0,0,Experimental
123502,0,39.2724524924963,39.2724524924963,Electronic
110736,3.24675324675324,0,0,Hip-Hop
86039,4.3859649122807,32.5007594534833,32.5007594534833,Instrumental
69002,5.76368876080692,121.847359682344,121.847359682344,Experimental
139681,6.57894736842105,10.5948714499725,10.5948714499725,Experimental
27797,7.28597449908925,7.53531019194258,7.53531019194258,Pop
91624,8.34724540901503,271.792950861019,271.792950861019,Electronic
38880,8.7719298245614,156.841325682526,156.841325682526,Experimental
49066,9.10746812386156,55.874194752033,55.874194752033,Experimental
33477,9.74025974025974,0.257158055487386,0.257158055487386,Experimental
54158,10.752688172043,50.6535470711925,50.6535470711925,Instrumental
144592,10.9289617486339,229.3688931933,229.3688931933,Electronic
45100,12.7504553734062,474.986327703456,474.986327703456,Electronic
127542,12.7504553734062,140.829227071696,140.829227071696,Experimental
145058,12.987012987013,36.4300089440385,36.4300089440385,Experimental
48861,12.987012987013,120.078575570346,120.078575570346,Experimental
130693,14.4092219020173,182.386720249032,182.386720249032,Rock
45101,14.5719489981785,488.415472284106,488.415472284106,Electronic
155066,14.6103896103896,42.2716547194379,42.2716547194379,Hip-Hop
149140,14.6103896103896,66.0396800754933,66.0396800754933,Instrumental
31807,14.6103896103896,89.7512120098687,89.7512120098687,Folk
139777,15.3508771929825,65.1731672827779,65.1731672827779,Instrumental
109972,16.2337662337662,129.506988688209,129.506988688209,Pop
23016,16.2337662337662,95.7027939838573,95.7027939838573,Electronic
66638,17.2910662824207,53.2628173257209,53.2628173257209,Electronic
109711,17.8571428571429,60.4614066319662,60.4614066319662,Experimental
144492,18.2149362477231,3.22224935342383,3.22224935342383,Experimental
15471,18.2149362477231,184.158060893391,184.158060893391,Experimental
149142,19.4805194805195,181.957176178577,181.957176178577,Instrumental
149139,19.4805194805195,74.4844297350639,74.4844297350639,Instrumental
39317,19.4805194805195,240.467187038872,240.467187038872,Experimental
144473,20.0364298724954,220.737512940669,220.737512940669,Folk
126516,20.1729106628242,382.870250160313,382.870250160313,Experimental
126510,20.1729106628242,61.3306862038795,61.3306862038795,Experimental
121660,21.505376344086,19.1417351610997,19.1417351610997,Instrumental
14809,21.505376344086,51.6324172945811,51.6324172945811,Folk
1482,21.505376344086,131.275895194495,131.275895194495,Electronic
3264,21.8579234972678,48.5484273658103,48.5484273658103,Folk
3263,21.8579234972678,64.6851667928725,64.6851667928725,Folk
38882,21.9298245614035,217.708451157602,217.708451157602,Experimental
131024,21.9298245614035,69.4242951971629,69.4242951971629,Experimental
38900,21.9298245614035,296.903456506894,296.903456506894,Experimental
38361,21.9298245614035,61.9513635006486,61.9513635006486,Folk
132567,22.5806451612903,36.9236269891896,36.9236269891896,Instrumental
141593,22.7272727272727,475.533151017763,475.533151017763,International
141297,22.7272727272727,120.875697750251,120.875697750251,Instrumental
51113,23.0547550432277,96.6925968741503,96.6925968741503,Experimental
24431,23.0547550432277,89.1199871318835,89.1199871318835,Hip-Hop
91620,23.3722871452421,378.582933114186,378.582933114186,Electronic
45099,23.6794171220401,502.219461851092,502.219461851092,Electronic
60317,23.6794171220401,153.363156315961,153.363156315961,Experimental
70299,24.1228070175439,93.2320155017958,93.2320155017958,Electronic
105722,24.1228070175439,88.7958787179678,88.7958787179678,Experimental
131327,24.1228070175439,7.44564458663935,7.44564458663935,Instrumental
112215,24.1228070175439,8.92163945938008,8.92163945938008,Experimental
7388,24.3506493506494,80.1682328902893,80.1682328902893,Experimental
110171,24.3506493506494,75.7018629722681,75.7018629722681,Folk
30316,25.5009107468124,141.155030124779,141.155030124779,Experimental
